cell_id	sample_id	patient_id	section_id	timepoint_id	compartment	modality	t_cell_origin	car_positive	cell_state	t_cell_subtype	annotation_version	car_gate_version	CCL5_RNA_count	CXCR3_RNA_count	CXCR3_ADT_count	data_origin
SYNTH_P01_PRODUCT_PRODUCT_C011	SYNTH_P01_PRODUCT_PRODUCT	SYNTH_P01	NA	PRODUCT	product	citeseq	CAR_negative_product_T	false	memory	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	11	16	25	synthetic
SYNTH_P01_PRODUCT_PRODUCT_C012	SYNTH_P01_PRODUCT_PRODUCT	SYNTH_P01	NA	PRODUCT	product	citeseq	CAR_negative_product_T	false	effector	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	19	12	8	synthetic
SYNTH_P01_T0_PB_C001	SYNTH_P01_T0_PB	SYNTH_P01	NA	T0	blood	citeseq	CAR_T	true	memory	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	2	16	36	synthetic
SYNTH_P01_T0_PB_C002	SYNTH_P01_T0_PB	SYNTH_P01	NA	T0	blood	citeseq	CAR_T	true	effector	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	2	8	37	synthetic
SYNTH_P01_T0_PB_C003	SYNTH_P01_T0_PB	SYNTH_P01	NA	T0	blood	citeseq	CAR_T	true	dysfunctional	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	0	7	10	synthetic
SYNTH_P01_T0_PB_C004	SYNTH_P01_T0_PB	SYNTH_P01	NA	T0	blood	citeseq	CAR_T	true	memory	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	23	17	10	synthetic
SYNTH_P01_T0_PB_C005	SYNTH_P01_T0_PB	SYNTH_P01	NA	T0	blood	citeseq	CAR_T	true	effector	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	21	15	24	synthetic
SYNTH_P01_T0_PB_C006	SYNTH_P01_T0_PB	SYNTH_P01	NA	T0	blood	citeseq	CAR_T	true	dysfunctional	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	21	4	25	synthetic
SYNTH_P01_T0_PB_C007	SYNTH_P01_T0_PB	SYNTH_P01	NA	T0	blood	citeseq	CAR_T	true	memory	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	7	11	18	synthetic
SYNTH_P01_T0_PB_C008	SYNTH_P01_T0_PB	SYNTH_P01	NA	T0	blood	citeseq	CAR_T	true	effector	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	7	17	17	synthetic
SYNTH_P01_T0_PB_C009	SYNTH_P01_T0_PB	SYNTH_P01	NA	T0	blood	citeseq	endogenous_T	false	dysfunctional	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	6	15	3	synthetic
SYNTH_P01_T0_PB_C010	SYNTH_P01_T0_PB	SYNTH_P01	NA	T0	blood	citeseq	endogenous_T	false	memory	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	7	11	27	synthetic
SYNTH_P01_T0_PB_C011	SYNTH_P01_T0_PB	SYNTH_P01	NA	T0	blood	citeseq	endogenous_T	false	effector	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	20	12	20	synthetic
SYNTH_P01_T0_PB_C012	SYNTH_P01_T0_PB	SYNTH_P01	NA	T0	blood	citeseq	endogenous_T	false	dysfunctional	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	19	5	26	synthetic
SYNTH_P01_T1_PB_C001	SYNTH_P01_T1_PB	SYNTH_P01	NA	T1	blood	citeseq	CAR_T	true	effector	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	7	11	23	synthetic
SYNTH_P01_T1_PB_C002	SYNTH_P01_T1_PB	SYNTH_P01	NA	T1	blood	citeseq	CAR_T	true	dysfunctional	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	3	6	32	synthetic
SYNTH_P01_T1_PB_C003	SYNTH_P01_T1_PB	SYNTH_P01	NA	T1	blood	citeseq	CAR_T	true	memory	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	15	8	22	synthetic
SYNTH_P01_T1_PB_C004	SYNTH_P01_T1_PB	SYNTH_P01	NA	T1	blood	citeseq	CAR_T	true	effector	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	16	13	32	synthetic
SYNTH_P01_T1_PB_C005	SYNTH_P01_T1_PB	SYNTH_P01	NA	T1	blood	citeseq	CAR_T	true	dysfunctional	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	9	10	34	synthetic
SYNTH_P01_T1_PB_C006	SYNTH_P01_T1_PB	SYNTH_P01	NA	T1	blood	citeseq	CAR_T	true	memory	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	1	10	28	synthetic
SYNTH_P01_T1_PB_C007	SYNTH_P01_T1_PB	SYNTH_P01	NA	T1	blood	citeseq	CAR_T	true	effector	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	8	2	11	synthetic
SYNTH_P01_T1_PB_C008	SYNTH_P01_T1_PB	SYNTH_P01	NA	T1	blood	citeseq	CAR_T	true	dysfunctional	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	13	1	23	synthetic
SYNTH_P01_T1_PB_C009	SYNTH_P01_T1_PB	SYNTH_P01	NA	T1	blood	citeseq	endogenous_T	false	memory	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	9	4	35	synthetic
SYNTH_P01_T1_PB_C010	SYNTH_P01_T1_PB	SYNTH_P01	NA	T1	blood	citeseq	endogenous_T	false	effector	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	4	8	19	synthetic
SYNTH_P01_T1_PB_C011	SYNTH_P01_T1_PB	SYNTH_P01	NA	T1	blood	citeseq	endogenous_T	false	dysfunctional	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	16	0	15	synthetic
SYNTH_P01_T1_PB_C012	SYNTH_P01_T1_PB	SYNTH_P01	NA	T1	blood	citeseq	endogenous_T	false	memory	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	3	0	23	synthetic
SYNTH_P02_PRODUCT_PRODUCT_C001	SYNTH_P02_PRODUCT_PRODUCT	SYNTH_P02	NA	PRODUCT	product	citeseq	CAR_T	true	memory	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	9	2	35	synthetic
SYNTH_P02_PRODUCT_PRODUCT_C002	SYNTH_P02_PRODUCT_PRODUCT	SYNTH_P02	NA	PRODUCT	product	citeseq	CAR_T	true	effector	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	6	8	10	synthetic
SYNTH_P02_PRODUCT_PRODUCT_C003	SYNTH_P02_PRODUCT_PRODUCT	SYNTH_P02	NA	PRODUCT	product	citeseq	CAR_T	true	dysfunctional	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	6	2	28	synthetic
SYNTH_P02_PRODUCT_PRODUCT_C004	SYNTH_P02_PRODUCT_PRODUCT	SYNTH_P02	NA	PRODUCT	product	citeseq	CAR_T	true	memory	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	22	13	3	synthetic
SYNTH_P02_PRODUCT_PRODUCT_C005	SYNTH_P02_PRODUCT_PRODUCT	SYNTH_P02	NA	PRODUCT	product	citeseq	CAR_T	true	effector	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	5	12	8	synthetic
SYNTH_P02_PRODUCT_PRODUCT_C006	SYNTH_P02_PRODUCT_PRODUCT	SYNTH_P02	NA	PRODUCT	product	citeseq	CAR_T	true	dysfunctional	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	14	7	15	synthetic
SYNTH_P02_PRODUCT_PRODUCT_C007	SYNTH_P02_PRODUCT_PRODUCT	SYNTH_P02	NA	PRODUCT	product	citeseq	CAR_T	true	memory	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	24	7	25	synthetic
SYNTH_P02_PRODUCT_PRODUCT_C008	SYNTH_P02_PRODUCT_PRODUCT	SYNTH_P02	NA	PRODUCT	product	citeseq	CAR_T	true	effector	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	24	10	12	synthetic
SYNTH_P02_PRODUCT_PRODUCT_C009	SYNTH_P02_PRODUCT_PRODUCT	SYNTH_P02	NA	PRODUCT	product	citeseq	CAR_negative_product_T	false	dysfunctional	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	0	1	25	synthetic
SYNTH_P02_PRODUCT_PRODUCT_C010	SYNTH_P02_PRODUCT_PRODUCT	SYNTH_P02	NA	PRODUCT	product	citeseq	CAR_negative_product_T	false	memory	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	22	8	13	synthetic
SYNTH_P02_PRODUCT_PRODUCT_C011	SYNTH_P02_PRODUCT_PRODUCT	SYNTH_P02	NA	PRODUCT	product	citeseq	CAR_negative_product_T	false	effector	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	16	5	37	synthetic
SYNTH_P02_PRODUCT_PRODUCT_C012	SYNTH_P02_PRODUCT_PRODUCT	SYNTH_P02	NA	PRODUCT	product	citeseq	CAR_negative_product_T	false	dysfunctional	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	14	3	3	synthetic
SYNTH_P02_T0_PB_C001	SYNTH_P02_T0_PB	SYNTH_P02	NA	T0	blood	citeseq	CAR_T	true	effector	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	24	15	3	synthetic
SYNTH_P02_T0_PB_C002	SYNTH_P02_T0_PB	SYNTH_P02	NA	T0	blood	citeseq	CAR_T	true	dysfunctional	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	13	5	23	synthetic
SYNTH_P02_T0_PB_C003	SYNTH_P02_T0_PB	SYNTH_P02	NA	T0	blood	citeseq	CAR_T	true	memory	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	4	0	34	synthetic
SYNTH_P02_T0_PB_C004	SYNTH_P02_T0_PB	SYNTH_P02	NA	T0	blood	citeseq	CAR_T	true	effector	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	23	2	17	synthetic
SYNTH_P02_T0_PB_C005	SYNTH_P02_T0_PB	SYNTH_P02	NA	T0	blood	citeseq	CAR_T	true	dysfunctional	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	5	12	10	synthetic
SYNTH_P02_T0_PB_C006	SYNTH_P02_T0_PB	SYNTH_P02	NA	T0	blood	citeseq	CAR_T	true	memory	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	9	10	26	synthetic
SYNTH_P02_T0_PB_C007	SYNTH_P02_T0_PB	SYNTH_P02	NA	T0	blood	citeseq	CAR_T	true	effector	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	6	15	6	synthetic
SYNTH_P02_T0_PB_C008	SYNTH_P02_T0_PB	SYNTH_P02	NA	T0	blood	citeseq	CAR_T	true	dysfunctional	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	20	9	3	synthetic
SYNTH_P02_T0_PB_C009	SYNTH_P02_T0_PB	SYNTH_P02	NA	T0	blood	citeseq	endogenous_T	false	memory	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	10	14	13	synthetic
SYNTH_P02_T0_PB_C010	SYNTH_P02_T0_PB	SYNTH_P02	NA	T0	blood	citeseq	endogenous_T	false	effector	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	7	10	31	synthetic
SYNTH_P02_T0_PB_C011	SYNTH_P02_T0_PB	SYNTH_P02	NA	T0	blood	citeseq	endogenous_T	false	dysfunctional	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	8	1	30	synthetic
SYNTH_P02_T0_PB_C012	SYNTH_P02_T0_PB	SYNTH_P02	NA	T0	blood	citeseq	endogenous_T	false	memory	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	18	1	29	synthetic
SYNTH_P02_T1_PB_C001	SYNTH_P02_T1_PB	SYNTH_P02	NA	T1	blood	citeseq	CAR_T	true	dysfunctional	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	19	14	25	synthetic
SYNTH_P02_T1_PB_C002	SYNTH_P02_T1_PB	SYNTH_P02	NA	T1	blood	citeseq	CAR_T	true	memory	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	11	14	34	synthetic
SYNTH_P02_T1_PB_C003	SYNTH_P02_T1_PB	SYNTH_P02	NA	T1	blood	citeseq	CAR_T	true	effector	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	4	7	20	synthetic
SYNTH_P02_T1_PB_C004	SYNTH_P02_T1_PB	SYNTH_P02	NA	T1	blood	citeseq	CAR_T	true	dysfunctional	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	19	4	30	synthetic
SYNTH_P02_T1_PB_C005	SYNTH_P02_T1_PB	SYNTH_P02	NA	T1	blood	citeseq	CAR_T	true	memory	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	18	13	15	synthetic
SYNTH_P02_T1_PB_C006	SYNTH_P02_T1_PB	SYNTH_P02	NA	T1	blood	citeseq	CAR_T	true	effector	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	6	16	29	synthetic
SYNTH_P02_T1_PB_C007	SYNTH_P02_T1_PB	SYNTH_P02	NA	T1	blood	citeseq	CAR_T	true	dysfunctional	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	8	17	21	synthetic
SYNTH_P02_T1_PB_C008	SYNTH_P02_T1_PB	SYNTH_P02	NA	T1	blood	citeseq	CAR_T	true	memory	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	17	9	28	synthetic
SYNTH_P02_T1_PB_C009	SYNTH_P02_T1_PB	SYNTH_P02	NA	T1	blood	citeseq	endogenous_T	false	effector	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	4	3	16	synthetic
SYNTH_P02_T1_PB_C010	SYNTH_P02_T1_PB	SYNTH_P02	NA	T1	blood	citeseq	endogenous_T	false	dysfunctional	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	2	8	35	synthetic
SYNTH_P02_T1_PB_C011	SYNTH_P02_T1_PB	SYNTH_P02	NA	T1	blood	citeseq	endogenous_T	false	memory	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	11	12	28	synthetic
SYNTH_P02_T1_PB_C012	SYNTH_P02_T1_PB	SYNTH_P02	NA	T1	blood	citeseq	endogenous_T	false	effector	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	10	6	2	synthetic
SYNTH_P03_PRODUCT_PRODUCT_C001	SYNTH_P03_PRODUCT_PRODUCT	SYNTH_P03	NA	PRODUCT	product	citeseq	CAR_T	true	effector	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	4	0	39	synthetic
SYNTH_P03_PRODUCT_PRODUCT_C002	SYNTH_P03_PRODUCT_PRODUCT	SYNTH_P03	NA	PRODUCT	product	citeseq	CAR_T	true	dysfunctional	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	15	12	28	synthetic
SYNTH_P03_PRODUCT_PRODUCT_C003	SYNTH_P03_PRODUCT_PRODUCT	SYNTH_P03	NA	PRODUCT	product	citeseq	CAR_T	true	memory	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	7	1	28	synthetic
SYNTH_P03_PRODUCT_PRODUCT_C004	SYNTH_P03_PRODUCT_PRODUCT	SYNTH_P03	NA	PRODUCT	product	citeseq	CAR_T	true	effector	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	12	6	36	synthetic
SYNTH_P03_PRODUCT_PRODUCT_C005	SYNTH_P03_PRODUCT_PRODUCT	SYNTH_P03	NA	PRODUCT	product	citeseq	CAR_T	true	dysfunctional	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	23	11	20	synthetic
SYNTH_P03_PRODUCT_PRODUCT_C006	SYNTH_P03_PRODUCT_PRODUCT	SYNTH_P03	NA	PRODUCT	product	citeseq	CAR_T	true	memory	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	12	1	33	synthetic
SYNTH_P03_PRODUCT_PRODUCT_C007	SYNTH_P03_PRODUCT_PRODUCT	SYNTH_P03	NA	PRODUCT	product	citeseq	CAR_T	true	effector	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	24	6	38	synthetic
SYNTH_P03_PRODUCT_PRODUCT_C008	SYNTH_P03_PRODUCT_PRODUCT	SYNTH_P03	NA	PRODUCT	product	citeseq	CAR_T	true	dysfunctional	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	23	2	38	synthetic
SYNTH_P03_PRODUCT_PRODUCT_C009	SYNTH_P03_PRODUCT_PRODUCT	SYNTH_P03	NA	PRODUCT	product	citeseq	CAR_negative_product_T	false	memory	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	18	1	20	synthetic
SYNTH_P03_PRODUCT_PRODUCT_C010	SYNTH_P03_PRODUCT_PRODUCT	SYNTH_P03	NA	PRODUCT	product	citeseq	CAR_negative_product_T	false	effector	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	21	16	37	synthetic
SYNTH_P03_PRODUCT_PRODUCT_C011	SYNTH_P03_PRODUCT_PRODUCT	SYNTH_P03	NA	PRODUCT	product	citeseq	CAR_negative_product_T	false	dysfunctional	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	14	1	26	synthetic
SYNTH_P03_PRODUCT_PRODUCT_C012	SYNTH_P03_PRODUCT_PRODUCT	SYNTH_P03	NA	PRODUCT	product	citeseq	CAR_negative_product_T	false	memory	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	12	0	28	synthetic
SYNTH_P03_T0_PB_C001	SYNTH_P03_T0_PB	SYNTH_P03	NA	T0	blood	citeseq	CAR_T	true	dysfunctional	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	21	16	17	synthetic
SYNTH_P03_T0_PB_C002	SYNTH_P03_T0_PB	SYNTH_P03	NA	T0	blood	citeseq	CAR_T	true	memory	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	5	14	29	synthetic
SYNTH_P03_T0_PB_C003	SYNTH_P03_T0_PB	SYNTH_P03	NA	T0	blood	citeseq	CAR_T	true	effector	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	15	1	16	synthetic
SYNTH_P03_T0_PB_C004	SYNTH_P03_T0_PB	SYNTH_P03	NA	T0	blood	citeseq	CAR_T	true	dysfunctional	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	23	13	1	synthetic
SYNTH_P03_T0_PB_C005	SYNTH_P03_T0_PB	SYNTH_P03	NA	T0	blood	citeseq	CAR_T	true	memory	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	6	11	19	synthetic
SYNTH_P03_T0_PB_C006	SYNTH_P03_T0_PB	SYNTH_P03	NA	T0	blood	citeseq	CAR_T	true	effector	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	22	8	27	synthetic
SYNTH_P03_T0_PB_C007	SYNTH_P03_T0_PB	SYNTH_P03	NA	T0	blood	citeseq	CAR_T	true	dysfunctional	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	8	6	24	synthetic
SYNTH_P03_T0_PB_C008	SYNTH_P03_T0_PB	SYNTH_P03	NA	T0	blood	citeseq	CAR_T	true	memory	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	13	13	17	synthetic
SYNTH_P03_T0_PB_C009	SYNTH_P03_T0_PB	SYNTH_P03	NA	T0	blood	citeseq	endogenous_T	false	effector	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	5	12	7	synthetic
SYNTH_P03_T0_PB_C010	SYNTH_P03_T0_PB	SYNTH_P03	NA	T0	blood	citeseq	endogenous_T	false	dysfunctional	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	18	9	9	synthetic
SYNTH_P03_T0_PB_C011	SYNTH_P03_T0_PB	SYNTH_P03	NA	T0	blood	citeseq	endogenous_T	false	memory	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	17	15	29	synthetic
SYNTH_P03_T0_PB_C012	SYNTH_P03_T0_PB	SYNTH_P03	NA	T0	blood	citeseq	endogenous_T	false	effector	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	21	7	36	synthetic
SYNTH_P03_T1_PB_C001	SYNTH_P03_T1_PB	SYNTH_P03	NA	T1	blood	citeseq	CAR_T	true	memory	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	0	17	15	synthetic
SYNTH_P03_T1_PB_C002	SYNTH_P03_T1_PB	SYNTH_P03	NA	T1	blood	citeseq	CAR_T	true	effector	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	22	11	29	synthetic
SYNTH_P03_T1_PB_C003	SYNTH_P03_T1_PB	SYNTH_P03	NA	T1	blood	citeseq	CAR_T	true	dysfunctional	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	10	12	9	synthetic
SYNTH_P03_T1_PB_C004	SYNTH_P03_T1_PB	SYNTH_P03	NA	T1	blood	citeseq	CAR_T	true	memory	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	4	12	15	synthetic
SYNTH_P03_T1_PB_C005	SYNTH_P03_T1_PB	SYNTH_P03	NA	T1	blood	citeseq	CAR_T	true	effector	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	3	4	20	synthetic
SYNTH_P03_T1_PB_C006	SYNTH_P03_T1_PB	SYNTH_P03	NA	T1	blood	citeseq	CAR_T	true	dysfunctional	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	21	2	23	synthetic
SYNTH_P03_T1_PB_C007	SYNTH_P03_T1_PB	SYNTH_P03	NA	T1	blood	citeseq	CAR_T	true	memory	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	20	17	16	synthetic
SYNTH_P03_T1_PB_C008	SYNTH_P03_T1_PB	SYNTH_P03	NA	T1	blood	citeseq	CAR_T	true	effector	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	24	10	0	synthetic
SYNTH_P03_T1_PB_C009	SYNTH_P03_T1_PB	SYNTH_P03	NA	T1	blood	citeseq	endogenous_T	false	dysfunctional	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	12	10	33	synthetic
SYNTH_P03_T1_PB_C010	SYNTH_P03_T1_PB	SYNTH_P03	NA	T1	blood	citeseq	endogenous_T	false	memory	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	6	5	14	synthetic
SYNTH_P03_T1_PB_C011	SYNTH_P03_T1_PB	SYNTH_P03	NA	T1	blood	citeseq	endogenous_T	false	effector	CD4	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	8	1	12	synthetic
SYNTH_P03_T1_PB_C012	SYNTH_P03_T1_PB	SYNTH_P03	NA	T1	blood	citeseq	endogenous_T	false	dysfunctional	CD8	SYNTH_STATE_v1	SYNTH_CAR_GATE_v1	19	3	26	synthetic
