cell_id	sample_id	patient_id	section_id	timepoint_id	x	y	cell_type	is_ligand_source	is_car_t	structure	chemokine	chemokine_signal	data_origin
SYNTH_SP_CELL013	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	218.749594	11.923786	endothelial	true	false	vessel	CXCL9	8.601324	synthetic
SYNTH_SP_CELL014	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	56.084399	664.103777	fibroblast	true	false	stroma	CXCL10	5.197834	synthetic
SYNTH_SP_CELL015	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	633.657540	140.445950	tumor	false	false	tumor_nest	CXCL12	9.010306	synthetic
SYNTH_SP_CELL016	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	615.809234	143.178804	CAR_T	false	true		CXCL16	9.837462	synthetic
SYNTH_SP_CELL017	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	488.557189	220.286312	endothelial	true	false	stroma	CXCL9	7.627165	synthetic
SYNTH_SP_CELL018	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	49.110488	693.287427	fibroblast	true	false	tumor_nest	CXCL10	2.902375	synthetic
SYNTH_SP_CELL019	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	431.535989	620.481699	tumor	false	false	vessel	CXCL12	6.447132	synthetic
SYNTH_SP_CELL020	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	730.988712	543.889986	CAR_T	false	true		CXCL16	6.942632	synthetic
SYNTH_SP_CELL021	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	644.836837	366.736149	endothelial	true	false	tumor_nest	CXCL9	8.760434	synthetic
SYNTH_SP_CELL022	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	736.297230	185.315541	fibroblast	true	false	vessel	CXCL10	9.265842	synthetic
SYNTH_SP_CELL023	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	387.528485	653.144012	tumor	false	false	stroma	CXCL12	8.169261	synthetic
SYNTH_SP_CELL024	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	188.287764	10.104115	CAR_T	false	true		CXCL16	8.856371	synthetic
SYNTH_SP_CELL025	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	633.880542	307.518818	endothelial	true	false	vessel	CXCL9	5.582264	synthetic
SYNTH_SP_CELL026	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	525.369394	365.867008	fibroblast	true	false	stroma	CXCL10	4.737126	synthetic
SYNTH_SP_CELL027	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	707.142637	71.560352	tumor	false	false	tumor_nest	CXCL12	7.700728	synthetic
SYNTH_SP_CELL028	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	13.644962	166.758944	CAR_T	false	true		CXCL16	8.670893	synthetic
SYNTH_SP_CELL029	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	604.047755	580.516928	endothelial	true	false	stroma	CXCL9	7.000392	synthetic
SYNTH_SP_CELL030	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	647.730710	238.057587	fibroblast	true	false	tumor_nest	CXCL10	1.638645	synthetic
SYNTH_SP_CELL031	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	747.168662	507.258064	tumor	false	false	vessel	CXCL12	3.111276	synthetic
SYNTH_SP_CELL032	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	299.021683	148.416065	CAR_T	false	true		CXCL16	5.443103	synthetic
SYNTH_SP_CELL033	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	334.071130	498.219238	endothelial	true	false	tumor_nest	CXCL9	1.008137	synthetic
SYNTH_SP_CELL034	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	365.109489	530.464132	fibroblast	true	false	vessel	CXCL10	3.370402	synthetic
SYNTH_SP_CELL035	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	551.409164	424.095372	tumor	false	false	stroma	CXCL12	6.386548	synthetic
SYNTH_SP_CELL036	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	555.465114	18.481543	CAR_T	false	true		CXCL16	7.601039	synthetic
SYNTH_SP_CELL037	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	15.845934	433.082989	endothelial	true	false	vessel	CXCL9	6.536194	synthetic
SYNTH_SP_CELL038	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	488.888383	733.920516	fibroblast	true	false	stroma	CXCL10	5.355251	synthetic
SYNTH_SP_CELL039	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	75.735194	61.181223	tumor	false	false	tumor_nest	CXCL12	7.187252	synthetic
SYNTH_SP_CELL040	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	369.881299	370.718794	CAR_T	false	true		CXCL16	6.355531	synthetic
SYNTH_SP_CELL041	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	161.885190	138.182708	endothelial	true	false	stroma	CXCL9	2.373951	synthetic
SYNTH_SP_CELL042	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	704.343409	213.844407	fibroblast	true	false	tumor_nest	CXCL10	1.281873	synthetic
SYNTH_SP_CELL043	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	341.748769	180.322195	tumor	false	false	vessel	CXCL12	9.170029	synthetic
SYNTH_SP_CELL044	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	255.113998	703.972242	CAR_T	false	true		CXCL16	0.641911	synthetic
SYNTH_SP_CELL045	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	711.712210	226.259413	endothelial	true	false	tumor_nest	CXCL9	8.339346	synthetic
SYNTH_SP_CELL046	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	186.710764	655.883711	fibroblast	true	false	vessel	CXCL10	7.128795	synthetic
SYNTH_SP_CELL047	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	698.758467	129.758242	tumor	false	false	stroma	CXCL12	8.221980	synthetic
SYNTH_SP_CELL048	SYNTH_P01_T1_TUMOR	SYNTH_P01	SYNTH_SEC01	T1	206.879283	704.417917	CAR_T	false	true		CXCL16	2.069043	synthetic
